,"Rural Population"
"1960",5840008
"1961",5940367
"1962",6042523
"1963",6145555
"1964",6247686
"1965",6347365
"1966",6443202
"1967",6530997
"1968",6611927
"1969",6691848
"1970",6773586
"1971",6851231
"1972",6928839
"1973",7004921
"1974",7079645
"1975",7152509
"1976",7224077
"1977",7294725
"1978",7363485
"1979",7430487
"1980",7524638
"1981",7663406
"1982",7805295
"1983",7950822
"1984",8099892
"1985",8252539
"1986",8404874
"1987",8553425
"1988",8695266
"1989",8828571
"1990",8953322
"1991",9065579
"1992",9075627
"1993",9060590
"1994",9037727
"1995",9008895
"1996",8972001
"1997",8926932
"1998",8873095
"1999",8807741
"2000",8733053
"2001",8723170
"2002",8711599
"2003",8692156
"2004",8664588
"2005",8630798
"2006",8590311
"2007",8542290
"2008",8484686
"2009",8416340
"2010",8335392
"2011",8279394
"2012",8224020
"2013",8168174
"2014",8110840
"2015",8054002
"2016",7998285
"2017",7944281
"2018",7886784
"2019",7822759
"2020",7740375
"2021",7646346
"2022",7558760
"2023",7476281
