year,rural population,urban population
2000,8733053,14234763
2001,8723170,14803368
2002,8711599,15390878
2003,8692156,15987446
2004,8664588,16592184
2005,8630798,17205273
2006,8590311,17827598
2007,8542290,18456099
2008,8484686,19085373
2009,8416340,19708438
2010,8335392,20320384
2011,8279394,20882645
2012,8224020,21438811
2013,8168174,22006091
2014,8110840,22585297
2015,8054002,23178796
2016,7998285,23791400
2017,7944281,24411363
2018,7886784,25024183
2019,7822759,25617837
2020,7740375,26149183
2021,7646346,26636053
2022,7558760,27136733
2023,7476281,27650017
